"676226, REGENT CARE CENTER OF SAN MARCOS, 1351 SADLER, SAN MARCOS TX, 78666"
"676198, QUERENCIA AT BARTON CREEK, 2500 BARTON CREEK BLVD, AUSTIN TX, 78735"
"676228, KENDALL HOUSE WELLNESS & REHABILITATION, 1050 GRAND BLVD., BOERNE TX, 78006"
"676215, THE REHABILITATION & WELLNESS CENTRE OF DALLAS LLC, 4200 LIVE OAK ST, DALLAS TX, 75204"
"676214, FALCON LAKE NURSING HOME, 200 CARLA ST, ZAPATA TX, 78076"
"676236, BROOKDALE PLACE WILLOWBROOK, 13500 BRETON RIDGE, HOUSTON TX, 77070"
"676228, KENDALL HOUSE WELLNESS & REHABILITATION, 1050 GRAND BLVD., BOERNE TX, 78006"
"676205, RELIANT REHABILITATION HOSPITAL CENTRAL TEXAS, 1400 HESTERS CROSSING, ROUND ROCK TX, 78681"
"676218, JEFFERSON NURSING AND REHABILITATION CENTER, 3840 POINTE PARKWAY, BEAUMONT TX, 77706"
"676195, THE GRACE CARE CENTER OF KATY, 23553 WEST FERNHURST DRIVE, KATY TX, 77494"
"676223, BAYOU PINES CARE CENTER, 4905 FLEMING STREET, LA MARQUE TX, 77568"
"676242, GANADO NURSING AND REHABILITATION CENTER, 107 E ROGERS, GANADO TX, 77962"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676204, CEDAR BAYOU NURSING & REHAB CENTER, 2000 W BAKER RD, BAYTOWN TX, 77521"
"676218, JEFFERSON NURSING AND REHABILITATION CENTER, 3840 POINTE PARKWAY, BEAUMONT TX, 77706"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676198, QUERENCIA AT BARTON CREEK, 2500 BARTON CREEK BLVD, AUSTIN TX, 78735"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676228, KENDALL HOUSE WELLNESS & REHABILITATION, 1050 GRAND BLVD., BOERNE TX, 78006"
"676241, GREENHILL VILLAS, 2530 GREENHILL RD, MOUNT PLEASANT TX, 75455"
"676221, HERITAGE PARK OF KATY NURSING AND REHABILITATION, 6001 GEORGE BUSH DR, KATY TX, 77493"
"676222, BASTROP LOST PINES NURSING AND REHABILITATION CENT, 430 OLD AUSTIN HWY, BASTROP TX, 78602"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676203, ROLLING MEADOWS, 3006 MCNIEL, WICHITA FALLS TX, 76309"
"676219, WINDCREST HEALTH & REHABILITATION, 6050 HOSPITAL DR, ABILENE TX, 79606"
"676218, JEFFERSON NURSING AND REHABILITATION CENTER, 3840 POINTE PARKWAY, BEAUMONT TX, 77706"
"676205, RELIANT REHABILITATION HOSPITAL CENTRAL TEXAS, 1400 HESTERS CROSSING, ROUND ROCK TX, 78681"
"676222, BASTROP LOST PINES NURSING AND REHABILITATION CENT, 430 OLD AUSTIN HWY, BASTROP TX, 78602"
"676201, TUSCANY VILLAGE, 2750 MILLER RANCH RD, PEARLAND TX, 77584"
"676238, LEGEND OAKS HEALTHCARE AND REHABILITATION - NORTH, 11020 DESSAU RD, AUSTIN TX, 78754"
"676229, TRUCARE LIVING CENTERS-COLUMBUS, 1511 MONTEZUMA STREET, COLUMBUS TX, 78934"
"676203, ROLLING MEADOWS, 3006 MCNIEL, WICHITA FALLS TX, 76309"
"676221, HERITAGE PARK OF KATY NURSING AND REHABILITATION, 6001 GEORGE BUSH DR, KATY TX, 77493"
"676205, RELIANT REHABILITATION HOSPITAL CENTRAL TEXAS, 1400 HESTERS CROSSING, ROUND ROCK TX, 78681"
"676198, QUERENCIA AT BARTON CREEK, 2500 BARTON CREEK BLVD, AUSTIN TX, 78735"
"676224, THE HEIGHTS ON HUEBNER, 10127 HUEBNER RD, SAN ANTONIO TX, 78240"
"676228, KENDALL HOUSE WELLNESS & REHABILITATION, 1050 GRAND BLVD., BOERNE TX, 78006"
"676225, MITCHELL COUNTY NURSING AND REHABILITATION CENTER, 1941 CHESTNUT ST, COLORADO CITY TX, 79512"
"676218, JEFFERSON NURSING AND REHABILITATION CENTER, 3840 POINTE PARKWAY, BEAUMONT TX, 77706"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676218, JEFFERSON NURSING AND REHABILITATION CENTER, 3840 POINTE PARKWAY, BEAUMONT TX, 77706"
"676238, LEGEND OAKS HEALTHCARE AND REHABILITATION - NORTH, 11020 DESSAU RD, AUSTIN TX, 78754"
"676243, POWERBACK REHABILITATION RICHARDSON, 1350 E LOOKOUT DR, RICHARDSON TX, 75082"
"676205, RELIANT REHABILITATION HOSPITAL CENTRAL TEXAS, 1400 HESTERS CROSSING, ROUND ROCK TX, 78681"
"676202, PARK VALLEY INN HEALTH CENTER, 17751 PARK VALLEY DR, ROUND ROCK TX, 78681"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676234, THE VILLAGE AT GLEANNLOCH FARMS, 9505 NORTH POINTE BLVD, SPRING TX, 77379"
"676196, CORNERSTONE GARDENS LLP, 763 MARLANDWOOD RD, TEMPLE TX, 76505"
"676242, GANADO NURSING AND REHABILITATION CENTER, 107 E ROGERS, GANADO TX, 77962"
"676235, ROCK CREEK HEALTH AND REHABILITATION LLC, 1414 COLLEGE STREET, SULPHUR SPRINGS TX, 75482"
"676203, ROLLING MEADOWS, 3006 MCNIEL, WICHITA FALLS TX, 76309"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676228, KENDALL HOUSE WELLNESS & REHABILITATION, 1050 GRAND BLVD., BOERNE TX, 78006"
"676222, BASTROP LOST PINES NURSING AND REHABILITATION CENT, 430 OLD AUSTIN HWY, BASTROP TX, 78602"
"676207, THE COLONNADES AT REFLECTION BAY, 12001 SHADOW CREEK PARKWAY, PEARLAND TX, 77584"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676247, SANDY LAKE REHABILITATION AND CARE CENTER, 1410 E SANDY LAKE RD, COPPELL TX, 75019"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676276, LAKEWEST REHABILITATION AND SKILLED CARE, 2450 BICKERS ST, DALLAS TX, 75212"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676318, WINDMILL NURSING & REHAB CENTER, 507 MARTIN LUTHER KING BLVD, LUBBOCK TX, 79403"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676280, ESTRELLA OAKS REHABILITATION AND CARE CENTER, 4011 WILLIAMS DR, GEORGETOWN TX, 78628"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676294, HERITAGE HOUSE AT PARIS REHAB & NURSING, 150 S.E. 47TH STREET, PARIS TX, 75462"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676270, BRENTWOOD PLACE FOUR, 3505 S BUCKNER BLVD BLDG 5, DALLAS TX, 75227"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676272, LEGEND OAKS HEALTHCARE AND REHABILITATION-KYLE, 1640 FAIRWAY, KYLE TX, 78640"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676270, BRENTWOOD PLACE FOUR, 3505 S BUCKNER BLVD BLDG 5, DALLAS TX, 75227"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676325, TRISUN CARE CENTER -  LAKESIDE, 8707 LAKESIDE PARKWAY, SAN ANTONIO TX, 78245"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676279, CROWN POINT HEALTH SUITES, 6640 IOLA AVENUE, LUBBOCK TX, 79424"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676293, MONARCH PAVILION REHABILITATION SUITES, 6825 HARRY HINES BLVD, DALLAS TX, 75235"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676247, SANDY LAKE REHABILITATION AND CARE CENTER, 1410 E SANDY LAKE RD, COPPELL TX, 75019"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676293, MONARCH PAVILION REHABILITATION SUITES, 6825 HARRY HINES BLVD, DALLAS TX, 75235"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676260, THE MERIDIAN, 2228 SEAWALL BLVD, GALVESTON TX, 77550"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676247, SANDY LAKE REHABILITATION AND CARE CENTER, 1410 E SANDY LAKE RD, COPPELL TX, 75019"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676280, ESTRELLA OAKS REHABILITATION AND CARE CENTER, 4011 WILLIAMS DR, GEORGETOWN TX, 78628"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676270, BRENTWOOD PLACE FOUR, 3505 S BUCKNER BLVD BLDG 5, DALLAS TX, 75227"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676272, LEGEND OAKS HEALTHCARE AND REHABILITATION-KYLE, 1640 FAIRWAY, KYLE TX, 78640"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676247, SANDY LAKE REHABILITATION AND CARE CENTER, 1410 E SANDY LAKE RD, COPPELL TX, 75019"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676280, ESTRELLA OAKS REHABILITATION AND CARE CENTER, 4011 WILLIAMS DR, GEORGETOWN TX, 78628"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676340, ROCK HAVEN NURSING HOME, 401 S E STALLINGS DR, NACOGDOCHES TX, 75964"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676280, ESTRELLA OAKS REHABILITATION AND CARE CENTER, 4011 WILLIAMS DR, GEORGETOWN TX, 78628"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676293, MONARCH PAVILION REHABILITATION SUITES, 6825 HARRY HINES BLVD, DALLAS TX, 75235"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676293, MONARCH PAVILION REHABILITATION SUITES, 6825 HARRY HINES BLVD, DALLAS TX, 75235"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676272, LEGEND OAKS HEALTHCARE AND REHABILITATION-KYLE, 1640 FAIRWAY, KYLE TX, 78640"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676262, THE HEIGHTS OF TYLER, 2650 ELKTON TRAIL, TYLER TX, 75703"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676291, OAKCREST NURSING AND REHABILITATION CENTER, 9808 CROFFORD LN, AUSTIN TX, 78724"
"676289, THE ATRIUM OF BELLMEAD LLC, 2401 DEVELOPMENT BLVD., BELLMEAD TX, 76705"
"676314, LA HACIENDA NURSING & REHAB CENTER, 3730 W. OREM DRIVE, HOUSTON TX, 77045"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676341, CAPROCK NURSING & REHABILITATION, 900 COLLEGE AVE, BORGER TX, 79007"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676272, LEGEND OAKS HEALTHCARE AND REHABILITATION-KYLE, 1640 FAIRWAY, KYLE TX, 78640"
